task,seq_len_multi,rnn_model,hidden_size,batch_size,learning_rate,n_runs,n_epochs,mask_weights,reg_type,reg_weight,kernel_type
GoNogoVD-v0-Dec1,5,rnn-tanh,100,32,0.001,12,3000,True,l2,0.002,sa_axis
GoNogoVD-v0-Dec1,5,rnn-tanh,100,32,0.001,12,3000,False,l2,0.002,sa_axis
GoNogoVD-v0-Dec1,5,rnn-tanh,100,32,0.001,12,3000,True,l2,0.002,None
GoNogoVD-v0-Dec1,5,rnn-tanh,100,32,0.001,12,3000,False,l2,0.002,None
