task,seq_len_multi,rnn_model,hidden_size,batch_size,learning_rate,n_runs,n_epochs,mask_weights,reg_type,reg_weight,kernel_type
ContextDecisionMaking-v0-ND,5,rnn-tanh,100,32,0.001,36,15000,True,l2,0.002,sa_axis
ContextDecisionMaking-v0-MD,5,rnn-tanh,100,32,0.001,36,15000,True,l2,0.002,sa_axis
ContextDecisionMaking-v0-LD,5,rnn-tanh,100,32,0.001,36,15000,True,l2,0.002,sa_axis
ContextDecisionMaking-v0-ND,5,rnn-tanh,100,32,0.001,36,15000,True,l2,0.002,ut_axis
ContextDecisionMaking-v0-MD,5,rnn-tanh,100,32,0.001,36,15000,True,l2,0.002,ut_axis
ContextDecisionMaking-v0-LD,5,rnn-tanh,100,32,0.001,36,15000,True,l2,0.002,ut_axis
ContextDecisionMaking-v0-ND,5,rnn-tanh,100,32,0.001,36,15000,True,l2,0.002,euclidean
ContextDecisionMaking-v0-MD,5,rnn-tanh,100,32,0.001,36,15000,True,l2,0.002,euclidean
ContextDecisionMaking-v0-LD,5,rnn-tanh,100,32,0.001,36,15000,True,l2,0.002,euclidean
