ROI Name,R,A,S
7Networks_RH_SomMot_14,33,-21,65
7Networks_RH_SomMot_15,29,-34,65
7Networks_RH_SomMot_16,22,-9,67
7Networks_RH_SomMot_17,10,-39,69
7Networks_RH_SomMot_18,6,-23,69
7Networks_RH_SomMot_19,20,-29,70
7Networks_RH_DorsAttn_Post_1,50,-53,-15
7Networks_RH_DorsAttn_Post_2,52,-60,9
7Networks_RH_DorsAttn_Post_3,59,-16,34
7Networks_RH_DorsAttn_Post_4,46,-38,49
7Networks_RH_DorsAttn_Post_5,41,-31,46
7Networks_RH_DorsAttn_Post_6,15,-73,53
7Networks_RH_DorsAttn_Post_7,34,-48,51
7Networks_RH_DorsAttn_Post_8,26,-61,58
7Networks_RH_DorsAttn_Post_9,8,-56,61
7Networks_RH_DorsAttn_Post_10,21,-48,70
7Networks_RH_DorsAttn_FEF_1,34,-4,52
7Networks_RH_DorsAttn_FEF_2,26,7,58
7Networks_RH_DorsAttn_PrCv_1,52,11,21
7Networks_RH_SalVentAttn_TempOccPar_1,57,-45,9
7Networks_RH_SalVentAttn_TempOccPar_2,60,-39,17
7Networks_RH_SalVentAttn_TempOccPar_3,60,-26,27
7Networks_RH_SalVentAttn_PrC_1,51,4,40
7Networks_RH_SalVentAttn_FrOperIns_1,41,6,-15
7Networks_RH_SalVentAttn_FrOperIns_2,46,-4,-4
7Networks_RH_SalVentAttn_FrOperIns_3,36,24,5
7Networks_RH_SalVentAttn_FrOperIns_4,43,7,4
7Networks_RH_SalVentAttn_Med_1,7,9,41
7Networks_RH_SalVentAttn_Med_2,11,-36,47
7Networks_RH_SalVentAttn_Med_3,8,3,66
7Networks_RH_Limbic_OFC_1,12,39,-22
7Networks_RH_Limbic_OFC_2,28,22,-19
7Networks_RH_Limbic_OFC_3,15,64,-8
7Networks_RH_Limbic_TempPole_1,30,9,-38
7Networks_RH_Limbic_TempPole_2,47,-12,-35
7Networks_RH_Limbic_TempPole_3,25,-11,-32
7Networks_RH_Cont_Par_1,62,-37,37
7Networks_RH_Cont_Par_2,53,-42,48
7Networks_RH_Cont_Par_3,37,-63,47
7Networks_RH_Cont_Temp_1,63,-41,-12
7Networks_RH_Cont_PFCv_1,34,21,-8
7Networks_RH_Cont_PFCl_1,36,46,-13
7Networks_RH_Cont_PFCl_2,29,58,5
7Networks_RH_Cont_PFCl_3,43,45,10
7Networks_RH_Cont_PFCl_4,46,24,26
7Networks_RH_Cont_PFCl_5,30,48,27
7Networks_RH_Cont_PFCl_6,41,33,37
7Networks_RH_Cont_PFCl_7,42,14,49
7Networks_RH_Cont_pCun_1,14,-70,37
7Networks_RH_Cont_Cing_1,5,-24,31
7Networks_RH_Cont_Cing_2,5,3,30
7Networks_RH_Cont_PFCmp_1,7,31,28
7Networks_RH_Cont_PFCmp_2,7,25,55
7Networks_RH_Default_Par_1,47,-69,27
7Networks_RH_Default_Par_2,54,-50,28
7Networks_RH_Default_Par_3,51,-59,44
7Networks_RH_Default_Temp_1,47,13,-30
7Networks_RH_Default_Temp_2,61,-13,-21
7Networks_RH_Default_Temp_3,55,-6,-10
7Networks_RH_Default_Temp_4,63,-27,-6
7Networks_RH_Default_Temp_5,52,-31,2
7Networks_RH_Default_PFCv_1,51,28,0
7Networks_RH_Default_PFCdPFCm_1,5,37,-14
7Networks_RH_Default_PFCdPFCm_2,8,42,4
7Networks_RH_Default_PFCdPFCm_3,6,29,15
7Networks_RH_Default_PFCdPFCm_4,8,58,18
7Networks_RH_Default_PFCdPFCm_5,15,46,44
7Networks_RH_Default_PFCdPFCm_6,29,30,42
7Networks_RH_Default_PFCdPFCm_7,23,24,53
7Networks_RH_Default_pCunPCC_1,12,-55,15
7Networks_RH_Default_pCunPCC_2,7,-49,31
7Networks_RH_Default_pCunPCC_3,6,-58,44
