ROI Name,R,A,S
7Networks_LH_Cont_pCun_2,-5,-64,52
7Networks_LH_Cont_Cing_1,-3,5,29
7Networks_LH_Cont_Cing_2,-4,-22,29
7Networks_LH_Cont_PFCmp_1,-4,28,47
7Networks_LH_Default_Temp_1,-54,-2,-30
7Networks_LH_Default_Temp_2,-62,-18,-21
7Networks_LH_Default_Temp_3,-60,-36,-18
7Networks_LH_Default_Temp_4,-57,-9,-14
7Networks_LH_Default_Temp_5,-53,6,-11
7Networks_LH_Default_Temp_6,-61,-35,-3
7Networks_LH_Default_Temp_7,-52,-22,-6
7Networks_LH_Default_Temp_8,-61,-13,-3
7Networks_LH_Default_Temp_9,-62,-32,5
7Networks_LH_Default_Temp_10,-52,-43,5
7Networks_LH_Default_Par_1,-59,-49,16
7Networks_LH_Default_Par_2,-45,-58,21
7Networks_LH_Default_Par_3,-40,-79,30
7Networks_LH_Default_Par_4,-47,-64,31
7Networks_LH_Default_Par_5,-57,-55,30
7Networks_LH_Default_Par_6,-41,-72,43
7Networks_LH_Default_Par_7,-49,-60,47
7Networks_LH_Default_PFC_1,-36,22,-16
7Networks_LH_Default_PFC_2,-36,37,-13
7Networks_LH_Default_PFC_3,-5,55,-10
7Networks_LH_Default_PFC_4,-6,35,-9
7Networks_LH_Default_PFC_5,-46,32,-10
7Networks_LH_Default_PFC_6,-28,58,-1
7Networks_LH_Default_PFC_7,-48,28,0
7Networks_LH_Default_PFC_8,-6,59,7
7Networks_LH_Default_PFC_9,-6,45,6
7Networks_LH_Default_PFC_10,-53,19,11
7Networks_LH_Default_PFC_11,-16,67,8
7Networks_LH_Default_PFC_12,-5,34,21
7Networks_LH_Default_PFC_13,-4,51,28
7Networks_LH_Default_PFC_14,-14,58,31
7Networks_LH_Default_PFC_15,-22,51,31
7Networks_LH_Default_PFC_16,-25,28,43
7Networks_LH_Default_PFC_17,-41,19,48
7Networks_LH_Default_PFC_18,-8,43,51
7Networks_LH_Default_PFC_19,-18,36,48
7Networks_LH_Default_PFC_20,-42,7,48
7Networks_LH_Default_PFC_21,-30,14,57
7Networks_LH_Default_PFC_22,-22,20,52
7Networks_LH_Default_PFC_23,-13,24,61
7Networks_LH_Default_PFC_24,-6,10,65
7Networks_LH_Default_pCunPCC_1,-8,-52,9
7Networks_LH_Default_pCunPCC_2,-13,-61,19
7Networks_LH_Default_pCunPCC_3,-4,-53,20
7Networks_LH_Default_pCunPCC_4,-6,-41,24
7Networks_LH_Default_pCunPCC_5,-10,-70,32
7Networks_LH_Default_pCunPCC_6,-5,-60,30
7Networks_LH_Default_pCunPCC_7,-7,-44,32
7Networks_LH_Default_pCunPCC_8,-4,-34,38
7Networks_LH_Default_pCunPCC_9,-3,-15,37
7Networks_LH_Default_pCunPCC_10,-3,-68,41
7Networks_LH_Default_pCunPCC_11,-7,-51,43
7Networks_RH_Vis_1,34,-37,-23
7Networks_RH_Vis_2,31,-31,-18
7Networks_RH_Vis_3,36,-53,-17
7Networks_RH_Vis_4,37,-73,-16
7Networks_RH_Vis_5,26,-52,-9
7Networks_RH_Vis_6,23,-74,-11
7Networks_RH_Vis_7,18,-36,-12
7Networks_RH_Vis_8,20,-88,-13
7Networks_RH_Vis_9,50,-64,-9
7Networks_RH_Vis_10,42,-84,-12
7Networks_RH_Vis_11,9,-72,-5
7Networks_RH_Vis_12,13,-58,-3
7Networks_RH_Vis_13,25,-97,-10
7Networks_RH_Vis_14,18,-45,-3
7Networks_RH_Vis_15,8,-92,-2
7Networks_RH_Vis_16,48,-66,4
7Networks_RH_Vis_17,14,-46,4
7Networks_RH_Vis_18,35,-89,2
7Networks_RH_Vis_19,9,-74,9
7Networks_RH_Vis_20,22,-59,6
7Networks_RH_Vis_21,24,-99,7
7Networks_RH_Vis_22,43,-79,10
7Networks_RH_Vis_23,13,-94,19
7Networks_RH_Vis_24,16,-66,19
7Networks_RH_Vis_25,5,-80,24
7Networks_RH_Vis_26,27,-87,21
7Networks_RH_Vis_27,36,-79,24
7Networks_RH_Vis_28,14,-78,34
7Networks_RH_Vis_29,16,-87,36
7Networks_RH_Vis_30,29,-78,37
7Networks_RH_SomMot_1,53,3,-6
7Networks_RH_SomMot_2,62,-19,0
7Networks_RH_SomMot_3,53,-14,6
7Networks_RH_SomMot_4,39,-19,5
7Networks_RH_SomMot_5,37,-8,14
7Networks_RH_SomMot_6,35,-21,14
7Networks_RH_SomMot_7,60,-24,11
7Networks_RH_SomMot_8,65,-34,11
7Networks_RH_SomMot_9,41,-13,18
7Networks_RH_SomMot_10,41,-29,18
7Networks_RH_SomMot_11,50,-10,13
7Networks_RH_SomMot_12,59,1,10
7Networks_RH_SomMot_13,49,-21,19
7Networks_RH_SomMot_14,62,-12,15
7Networks_RH_SomMot_15,61,6,30
7Networks_RH_SomMot_16,60,-5,27
7Networks_RH_SomMot_17,61,-14,30
7Networks_RH_SomMot_18,52,-6,37
7Networks_RH_SomMot_19,54,-17,40
7Networks_RH_SomMot_20,11,-17,41
7Networks_RH_SomMot_21,52,-13,49
7Networks_RH_SomMot_22,44,-10,49
7Networks_RH_SomMot_23,49,-26,56
7Networks_RH_SomMot_24,7,-10,51
7Networks_RH_SomMot_25,43,-21,54
7Networks_RH_SomMot_26,37,-20,64
7Networks_RH_SomMot_27,32,-34,63
7Networks_RH_SomMot_28,31,-41,64
7Networks_RH_SomMot_29,34,-27,61
7Networks_RH_SomMot_30,4,-25,58
7Networks_RH_SomMot_31,29,-11,65
7Networks_RH_SomMot_32,9,-40,68
7Networks_RH_SomMot_33,21,-24,67
7Networks_RH_SomMot_34,22,-29,68
7Networks_RH_SomMot_35,22,-35,71
7Networks_RH_SomMot_36,17,-6,69
7Networks_RH_SomMot_37,16,-47,74
7Networks_RH_SomMot_38,5,-22,72
7Networks_RH_SomMot_39,17,-18,73
7Networks_RH_SomMot_40,13,-33,76
7Networks_RH_DorsAttn_Post_1,50,-49,-18
7Networks_RH_DorsAttn_Post_2,59,-55,-2
7Networks_RH_DorsAttn_Post_3,54,-56,12
7Networks_RH_DorsAttn_Post_4,45,-75,31
7Networks_RH_DorsAttn_Post_5,32,-66,35
7Networks_RH_DorsAttn_Post_6,57,-23,44
7Networks_RH_DorsAttn_Post_7,19,-79,50
7Networks_RH_DorsAttn_Post_8,44,-37,50
7Networks_RH_DorsAttn_Post_9,45,-28,42
7Networks_RH_DorsAttn_Post_10,31,-64,53
7Networks_RH_DorsAttn_Post_11,36,-44,45
7Networks_RH_DorsAttn_Post_12,21,-69,53
7Networks_RH_DorsAttn_Post_13,35,-36,51
7Networks_RH_DorsAttn_Post_14,34,-50,54
7Networks_RH_DorsAttn_Post_15,8,-71,53
7Networks_RH_DorsAttn_Post_16,27,-58,61
7Networks_RH_DorsAttn_Post_17,7,-54,59
7Networks_RH_DorsAttn_Post_18,14,-64,65
7Networks_RH_DorsAttn_Post_19,24,-50,68
7Networks_RH_DorsAttn_FEF_1,39,-3,53
7Networks_RH_DorsAttn_FEF_2,27,-3,52
7Networks_RH_DorsAttn_FEF_3,25,-3,64
7Networks_RH_DorsAttn_PrCv_1,49,8,25
7Networks_RH_SalVentAttn_TempOccPar_1,59,-46,7
7Networks_RH_SalVentAttn_TempOccPar_2,51,-41,13
7Networks_RH_SalVentAttn_TempOccPar_3,62,-40,22
7Networks_RH_SalVentAttn_TempOccPar_4,58,-31,24
7Networks_RH_SalVentAttn_TempOccPar_5,60,-22,22
7Networks_RH_SalVentAttn_TempOccPar_6,63,-26,38
7Networks_RH_SalVentAttn_TempOccPar_7,62,-37,37
7Networks_RH_SalVentAttn_PrC_1,51,3,41
7Networks_RH_SalVentAttn_FrOperIns_1,40,5,-15
7Networks_RH_SalVentAttn_FrOperIns_2,41,8,-3
7Networks_RH_SalVentAttn_FrOperIns_3,40,-10,-4
7Networks_RH_SalVentAttn_FrOperIns_4,39,-2,6
7Networks_RH_SalVentAttn_FrOperIns_5,37,23,5
7Networks_RH_SalVentAttn_FrOperIns_6,38,7,11
7Networks_RH_SalVentAttn_FrOperIns_7,49,5,3
7Networks_RH_SalVentAttn_FrOperIns_8,54,12,12
7Networks_RH_SalVentAttn_PFCl_1,33,45,28
7Networks_RH_SalVentAttn_Med_1,7,19,35
7Networks_RH_SalVentAttn_Med_2,7,2,43
7Networks_RH_SalVentAttn_Med_3,12,-34,43
7Networks_RH_SalVentAttn_Med_4,6,11,58
7Networks_RH_SalVentAttn_Med_5,10,-43,53
7Networks_RH_SalVentAttn_Med_6,11,-32,50
7Networks_RH_SalVentAttn_Med_7,7,-2,67
7Networks_RH_SalVentAttn_Med_8,16,7,69
7Networks_RH_Limbic_OFC_1,13,24,-21
7Networks_RH_Limbic_OFC_2,23,22,-21
7Networks_RH_Limbic_OFC_3,8,47,-23
7Networks_RH_Limbic_OFC_4,20,43,-18
7Networks_RH_Limbic_OFC_5,5,22,-21
7Networks_RH_Limbic_OFC_6,9,63,-14
7Networks_RH_Limbic_TempPole_1,28,-1,-40
7Networks_RH_Limbic_TempPole_2,49,-7,-39
7Networks_RH_Limbic_TempPole_3,37,17,-38
7Networks_RH_Limbic_TempPole_4,39,-15,-31
7Networks_RH_Limbic_TempPole_5,29,12,-30
7Networks_RH_Limbic_TempPole_6,50,-28,-26
7Networks_RH_Limbic_TempPole_7,23,-18,-27
7Networks_RH_Cont_Par_1,54,-53,44
7Networks_RH_Cont_Par_2,56,-41,48
7Networks_RH_Cont_Par_3,35,-71,47
7Networks_RH_Cont_Par_4,54,-33,51
7Networks_RH_Cont_Par_5,47,-44,46
7Networks_RH_Cont_Par_6,41,-55,48
7Networks_RH_Cont_Temp_1,62,-28,-20
7Networks_RH_Cont_Temp_2,63,-42,-11
7Networks_RH_Cont_PFCv_1,34,21,-8
7Networks_RH_Cont_PFCl_1,28,55,-14
7Networks_RH_Cont_PFCl_2,42,51,-6
7Networks_RH_Cont_PFCl_3,27,59,3
7Networks_RH_Cont_PFCl_4,49,40,5
7Networks_RH_Cont_PFCl_5,42,46,14
7Networks_RH_Cont_PFCl_6,50,30,18
7Networks_RH_Cont_PFCl_7,48,18,23
7Networks_RH_Cont_PFCl_8,25,54,25
7Networks_RH_Cont_PFCl_9,47,29,28
7Networks_RH_Cont_PFCl_10,39,11,34
7Networks_RH_Cont_PFCl_11,39,33,38
7Networks_RH_Cont_PFCl_12,45,19,44
7Networks_RH_Cont_PFCl_13,43,7,51
7Networks_RH_Cont_PFCl_14,34,15,56
7Networks_RH_Cont_PFCl_15,24,10,58
7Networks_RH_Cont_pCun_1,13,-71,39
7Networks_RH_Cont_pCun_2,5,-64,44
7Networks_RH_Cont_Cing_1,6,-26,28
7Networks_RH_Cont_Cing_2,5,1,30
7Networks_RH_Cont_PFCmp_1,8,35,25
7Networks_RH_Cont_PFCmp_2,5,28,48
7Networks_RH_Default_Par_1,55,-46,19
7Networks_RH_Default_Par_2,48,-64,22
7Networks_RH_Default_Par_3,53,-53,26
7Networks_RH_Default_Par_4,55,-45,33
7Networks_RH_Default_Par_5,47,-64,42
7Networks_RH_Default_Temp_1,49,9,-33
7Networks_RH_Default_Temp_2,61,-8,-23
7Networks_RH_Default_Temp_3,47,16,-20
7Networks_RH_Default_Temp_4,55,-4,-14
7Networks_RH_Default_Temp_5,63,-23,-7
7Networks_RH_Default_Temp_6,49,-20,-8
7Networks_RH_Default_Temp_7,63,-38,0
7Networks_RH_Default_Temp_8,50,-33,2
7Networks_RH_Default_PFCv_1,35,23,-18
7Networks_RH_Default_PFCv_2,35,38,-13
7Networks_RH_Default_PFCv_3,48,32,-8
7Networks_RH_Default_PFCv_4,54,24,6
7Networks_RH_Default_PFCdPFCm_1,5,41,-11
7Networks_RH_Default_PFCdPFCm_2,9,67,1
7Networks_RH_Default_PFCdPFCm_3,7,42,4
7Networks_RH_Default_PFCdPFCm_4,7,54,13
7Networks_RH_Default_PFCdPFCm_5,17,65,16
7Networks_RH_Default_PFCdPFCm_6,6,25,18
7Networks_RH_Default_PFCdPFCm_7,6,58,29
7Networks_RH_Default_PFCdPFCm_8,16,52,36
7Networks_RH_Default_PFCdPFCm_9,5,44,40
7Networks_RH_Default_PFCdPFCm_10,26,34,39
7Networks_RH_Default_PFCdPFCm_11,14,39,52
7Networks_RH_Default_PFCdPFCm_12,24,26,51
7Networks_RH_Default_PFCdPFCm_13,12,20,63
7Networks_RH_Default_pCunPCC_1,12,-55,15
7Networks_RH_Default_pCunPCC_2,7,-44,20
7Networks_RH_Default_pCunPCC_3,17,-63,28
7Networks_RH_Default_pCunPCC_4,6,-52,23
7Networks_RH_Default_pCunPCC_5,5,-63,31
7Networks_RH_Default_pCunPCC_6,7,-39,35
7Networks_RH_Default_pCunPCC_7,4,-20,37
7Networks_RH_Default_pCunPCC_8,10,-53,35
7Networks_RH_Default_pCunPCC_9,7,-50,45
