ROI Name,R,A,S
7Networks_LH_Vis_1,-33,-42,-21
7Networks_LH_Vis_2,-30,-33,-18
7Networks_LH_Vis_3,-36,-62,-17
7Networks_LH_Vis_4,-24,-55,-8
7Networks_LH_Vis_5,-23,-73,-10
7Networks_LH_Vis_6,-36,-81,-16
7Networks_LH_Vis_7,-18,-37,-12
7Networks_LH_Vis_8,-45,-70,-8
7Networks_LH_Vis_9,-17,-86,-15
7Networks_LH_Vis_10,-12,-62,-5
7Networks_LH_Vis_11,-7,-76,-6
7Networks_LH_Vis_12,-24,-97,-12
7Networks_LH_Vis_13,-13,-43,-5
7Networks_LH_Vis_14,-41,-87,-3
7Networks_LH_Vis_15,-7,-98,-7
7Networks_LH_Vis_16,-14,-57,1
7Networks_LH_Vis_17,-46,-73,6
7Networks_LH_Vis_18,-5,-88,2
7Networks_LH_Vis_19,-24,-96,6
7Networks_LH_Vis_20,-13,-49,4
7Networks_LH_Vis_21,-7,-74,9
7Networks_LH_Vis_22,-19,-65,7
7Networks_LH_Vis_23,-39,-84,14
7Networks_LH_Vis_24,-11,-97,17
7Networks_LH_Vis_25,-3,-84,24
7Networks_LH_Vis_26,-12,-71,20
7Networks_LH_Vis_27,-25,-85,21
7Networks_LH_Vis_28,-32,-84,27
7Networks_LH_Vis_29,-16,-89,33
7Networks_LH_Vis_30,-12,-81,36
7Networks_LH_Vis_31,-21,-79,45
7Networks_LH_SomMot_1,-50,-9,0
7Networks_LH_SomMot_2,-56,-22,8
7Networks_LH_SomMot_3,-36,-24,10
7Networks_LH_SomMot_4,-38,-9,13
7Networks_LH_SomMot_5,-36,-26,19
7Networks_LH_SomMot_6,-59,-37,16
7Networks_LH_SomMot_7,-41,-35,14
7Networks_LH_SomMot_8,-49,-13,14
7Networks_LH_SomMot_9,-60,-2,11
7Networks_LH_SomMot_10,-48,-24,18
7Networks_LH_SomMot_11,-61,-18,19
7Networks_LH_SomMot_12,-59,-2,23
7Networks_LH_SomMot_13,-63,-10,31
7Networks_LH_SomMot_14,-53,-9,30
7Networks_LH_SomMot_15,-55,-20,41
7Networks_LH_SomMot_16,-51,-7,43
7Networks_LH_SomMot_17,-48,-16,40
7Networks_LH_SomMot_18,-8,-15,47
7Networks_LH_SomMot_19,-41,-14,47
7Networks_LH_SomMot_20,-49,-17,54
7Networks_LH_SomMot_21,-48,-29,58
7Networks_LH_SomMot_22,-39,-25,53
7Networks_LH_SomMot_23,-9,-38,54
7Networks_LH_SomMot_24,-4,-25,56
7Networks_LH_SomMot_25,-4,-9,59
7Networks_LH_SomMot_26,-36,-19,65
7Networks_LH_SomMot_27,-30,-46,63
7Networks_LH_SomMot_28,-32,-29,63
7Networks_LH_SomMot_29,-30,-38,65
7Networks_LH_SomMot_30,-23,-11,65
7Networks_LH_SomMot_31,-19,-24,67
7Networks_LH_SomMot_32,-9,-42,70
7Networks_LH_SomMot_33,-4,-25,69
7Networks_LH_SomMot_34,-14,-11,73
7Networks_LH_SomMot_35,-19,-31,69
7Networks_LH_SomMot_36,-19,-40,72
7Networks_LH_SomMot_37,-12,-27,73
7Networks_LH_DorsAttn_Post_1,-45,-42,-21
7Networks_LH_DorsAttn_Post_2,-49,-56,-15
7Networks_LH_DorsAttn_Post_3,-55,-62,-1
7Networks_LH_DorsAttn_Post_4,-48,-65,15
7Networks_LH_DorsAttn_Post_5,-26,-70,31
7Networks_LH_DorsAttn_Post_6,-55,-32,45
7Networks_LH_DorsAttn_Post_7,-23,-65,46
7Networks_LH_DorsAttn_Post_8,-46,-29,44
7Networks_LH_DorsAttn_Post_9,-33,-46,41
7Networks_LH_DorsAttn_Post_10,-29,-58,50
7Networks_LH_DorsAttn_Post_11,-39,-37,49
7Networks_LH_DorsAttn_Post_12,-36,-52,56
7Networks_LH_DorsAttn_Post_13,-15,-71,57
7Networks_LH_DorsAttn_Post_14,-29,-61,62
7Networks_LH_DorsAttn_Post_15,-7,-59,63
7Networks_LH_DorsAttn_Post_16,-20,-57,66
7Networks_LH_DorsAttn_Post_17,-13,-50,72
7Networks_LH_DorsAttn_FEF_1,-40,-3,51
7Networks_LH_DorsAttn_FEF_2,-25,-1,55
7Networks_LH_DorsAttn_FEF_3,-30,-8,52
7Networks_LH_DorsAttn_FEF_4,-21,5,65
7Networks_LH_DorsAttn_PrCv_1,-49,6,26
7Networks_LH_DorsAttn_PrCv_2,-50,3,38
7Networks_LH_SalVentAttn_ParOper_1,-55,-32,22
7Networks_LH_SalVentAttn_ParOper_2,-58,-44,27
7Networks_LH_SalVentAttn_ParOper_3,-61,-23,33
7Networks_LH_SalVentAttn_ParOper_4,-61,-36,33
7Networks_LH_SalVentAttn_TempOcc_1,-57,-54,10
7Networks_LH_SalVentAttn_FrOperIns_1,-44,5,-17
7Networks_LH_SalVentAttn_FrOperIns_2,-39,2,-4
7Networks_LH_SalVentAttn_FrOperIns_3,-33,25,-1
7Networks_LH_SalVentAttn_FrOperIns_4,-40,-15,-2
7Networks_LH_SalVentAttn_FrOperIns_5,-33,19,8
7Networks_LH_SalVentAttn_FrOperIns_6,-36,4,11
7Networks_LH_SalVentAttn_FrOperIns_7,-43,12,2
7Networks_LH_SalVentAttn_FrOperIns_8,-50,1,5
7Networks_LH_SalVentAttn_FrOperIns_9,-52,9,13
7Networks_LH_SalVentAttn_PFCl_1,-29,43,30
7Networks_LH_SalVentAttn_Med_1,-6,22,31
7Networks_LH_SalVentAttn_Med_2,-7,0,41
7Networks_LH_SalVentAttn_Med_3,-11,-27,41
7Networks_LH_SalVentAttn_Med_4,-5,9,48
7Networks_LH_SalVentAttn_Med_5,-13,-41,47
7Networks_LH_SalVentAttn_Med_6,-6,-49,57
7Networks_LH_SalVentAttn_Med_7,-8,-3,71
7Networks_LH_Limbic_OFC_1,-12,25,-21
7Networks_LH_Limbic_OFC_2,-24,23,-20
7Networks_LH_Limbic_OFC_3,-10,47,-21
7Networks_LH_Limbic_OFC_4,-4,23,-19
7Networks_LH_Limbic_OFC_5,-15,65,-8
7Networks_LH_Limbic_TempPole_1,-37,-5,-42
7Networks_LH_Limbic_TempPole_2,-25,6,-39
7Networks_LH_Limbic_TempPole_3,-26,-9,-33
7Networks_LH_Limbic_TempPole_4,-54,-21,-31
7Networks_LH_Limbic_TempPole_5,-40,-21,-27
7Networks_LH_Limbic_TempPole_6,-44,13,-34
7Networks_LH_Limbic_TempPole_7,-32,12,-29
7Networks_LH_Limbic_TempPole_8,-21,-21,-26
7Networks_LH_Cont_Par_1,-29,-74,42
7Networks_LH_Cont_Par_2,-58,-42,45
7Networks_LH_Cont_Par_3,-53,-50,45
7Networks_LH_Cont_Par_4,-35,-62,48
7Networks_LH_Cont_Par_5,-42,-52,49
7Networks_LH_Cont_Par_6,-45,-41,47
7Networks_LH_Cont_Temp_1,-60,-49,-10
7Networks_LH_Cont_OFC_1,-27,49,-14
7Networks_LH_Cont_PFCl_1,-42,49,-6
7Networks_LH_Cont_PFCl_2,-48,35,10
7Networks_LH_Cont_PFCl_3,-38,49,11
7Networks_LH_Cont_PFCl_4,-28,57,13
7Networks_LH_Cont_PFCl_5,-42,38,22
7Networks_LH_Cont_PFCl_6,-45,20,27
7Networks_LH_Cont_PFCl_7,-39,7,34
7Networks_LH_Cont_PFCl_8,-36,32,38
7Networks_LH_Cont_PFCv_1,-34,16,-8
7Networks_LH_Cont_pCun_1,-9,-77,45
